date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2020-09-04,0.19746980392156854,0.16366960554488497,3355.3666,3824
2020-09-07,0.1913735025200718,0.1363850174152894,3292.5907,3823
2020-09-08,0.21851297853307017,0.1581418044548839,3316.417,3826
2020-09-09,0.16908157978120064,0.12143736674732741,3254.6279,3820
2020-09-10,0.11465764270364298,0.11786306546052039,3234.8234,3824
2020-09-11,0.1302573402743905,0.12778873238657118,3260.3461,3824
2020-09-14,0.16683232928567382,0.13601702424593398,3278.8138,3822
2020-09-15,0.13956466069142137,0.1270723981546089,3295.6795,3829
2020-09-16,0.12424072783679863,0.12073448158250244,3283.9244,3830
2020-09-17,0.11621003758393478,0.1058437046774281,3270.435,3832
2020-09-18,0.12258631132646869,0.11796411545492624,3338.0897,3837
2020-09-21,0.11635955131537012,0.10579199308921505,3316.9351,3836
2020-09-22,0.0833069165155167,0.08250719037293397,3274.3015,3842
2020-09-23,0.08505867460775685,0.0855646414156166,3279.7105,3841
2020-09-24,0.05939946395124429,0.07124559934257091,3223.1764,3842
2020-09-25,0.04866395343035945,0.06208122886938061,3219.4179,3846
2020-09-28,0.03053348380900478,0.06162828634349271,3217.5346,3842
2020-09-29,0.05979911750642142,0.08268359968836703,3224.3593,3847
2020-09-30,0.054389403684755866,0.07783659524903475,3218.0521,3850
2020-10-09,0.07282114779874216,0.09095429571421332,3272.0762,3855
2020-10-12,0.10605071024689328,0.1170878898335368,3358.4652,3856
2020-10-13,0.11577064730480724,0.1285399197138588,3359.7499,3861
2020-10-14,0.10551604245293067,0.1190609875469486,3340.7782,3860
2020-10-15,0.11672839595588669,0.1274773489159371,3332.1832,3862
2020-10-16,0.1470470444790113,0.13904354171734368,3336.3582,3864
2020-10-19,0.1381376182955425,0.12976754052548856,3312.6671,3868
2020-10-20,0.1610184385558231,0.14557182712919348,3328.1029,3871
2020-10-21,0.14742339786687675,0.14121996159763284,3325.0247,3871
2020-10-22,0.13797789325213883,0.1325343266401504,3312.5005,3881
2020-10-23,0.11504764543864376,0.11204851656739967,3277.9972,3883
2020-10-26,0.10993123241326419,0.09330703304666277,3251.1188,3882
2020-10-27,0.09307830697850594,0.08192880747970488,3254.3157,3884
2020-10-28,0.10772615694328491,0.09300830187861697,3269.238,3885
2020-10-29,0.11004114322425496,0.09870540036023634,3272.7274,3887
2020-10-30,0.08008933320632683,0.08302672236123176,3224.5325,3888
2020-11-02,0.09078629798059756,0.09767341686392017,3225.1196,3892
2020-11-03,0.11879675871345596,0.11275496043210231,3271.0744,3894
2020-11-04,0.10555303556275564,0.10934961343326233,3277.4402,3896
2020-11-05,0.1287264901350823,0.1286755782224398,3320.1333,3899
2020-11-06,0.11873254848297599,0.12623169302546855,3312.159,3901
2020-11-09,0.13937162562158567,0.1417294546166823,3373.7337,3908
2020-11-10,0.10736100579903496,0.1275477678258934,3360.1485,3910
2020-11-11,0.10919327096530607,0.13134847077493017,3342.2025,3912
2020-11-12,0.12389892521230084,0.13586740392993502,3338.6788,3916
2020-11-13,0.13740060208579719,0.13009259194455192,3310.1046,3914
